"List Name","Task Name","Description","Status","Priority","Tags","Start Date","Due Date"
"P0 - Coeur Now Playing","Formaliser ordre de priorite des sources","Objectif: stabiliser la detection multi-source. Critere: lecture active detectee de facon fiable. KPI: taux de detection correcte par source. DoD: ordre implemente + teste sur apps cibles.","Ready","High","now-playing,fiabilite,source-priority","2026-04-21","2026-04-23"
"P0 - Coeur Now Playing","Durcir filtre anti faux positifs","Objectif: eliminer messages systeme parasites. Critere: HUD utile et non intrusif. KPI: taux de faux positifs. DoD: filtres ajoutes + test regression.","Ready","High","now-playing,quality,anti-noise","2026-04-21","2026-04-24"
"P0 - Coeur Now Playing","Stabiliser startup probe Spotify + cooldown","Objectif: reduire instabilite au demarrage Spotify. Critere: detection fiable. KPI: taux d'echec startup probe. DoD: retry/cooldown ajustes + logs.","Ready","High","spotify,probe,reliability","2026-04-22","2026-04-25"
"P0 - Coeur Now Playing","Instrumentation detection par source","Objectif: suivre precision runtime. Critere: pilotage qualite. KPI: ratio fallback vs source primaire. DoD: compteurs exposes + logs exploitables.","Backlog","High","observability,metrics,now-playing","2026-04-24","2026-04-27"
"P0 - Coeur Now Playing","Expose EnableSystemNowPlayingCenter dans UI","Objectif: controler fallback system center. Critere: fiabilite multi-source. KPI: detection correcte. DoD: toggle Settings + MenuBar + persistance.","Backlog","Normal","settings,now-playing,toggle","2026-04-25","2026-04-28"
"P0 - Coeur Now Playing","Validation manuelle multi-app","Objectif: verifier comportement reel sur Spotify/Music/VLC/QuickTime/browsers. Critere: controles stables. KPI: taux succes play/pause/seek. DoD: matrice tests completee.","Ready","High","qa,matrix,multi-app","2026-04-24","2026-04-30"
"P1 - HUD UX & Controls","Recalibrer auto-collapse/reopen","Objectif: reduire intrusion visuelle. Critere: HUD non intrusif. KPI: temps reaction HUD + feedback testeurs. DoD: timings calibres + validation UX.","Ready","High","hud,ux,animation","2026-05-01","2026-05-04"
"P1 - HUD UX & Controls","Finaliser seek timeline avec rollback UI","Objectif: coherence timeline et commandes seek. Critere: controles stables. KPI: taux succes seek. DoD: rollback local override en cas echec.","Ready","High","seek,timeline,playback","2026-05-01","2026-05-05"
"P1 - HUD UX & Controls","Uniformiser previous/next selon source","Objectif: comportement coherent cross-app. Critere: controles stables. KPI: taux succes next/prev. DoD: strategie explicite par source + fallback.","Backlog","High","playback,controls,compatibility","2026-05-03","2026-05-07"
"P1 - HUD UX & Controls","Ajouter mode animations reduites","Objectif: accessibilite et confort. Critere: HUD non intrusif. KPI: retours qualite UX. DoD: option active dans settings + tests.","Backlog","Normal","accessibility,hud,motion","2026-05-06","2026-05-09"
"P1 - HUD UX & Controls","Optimiser latence play/pause","Objectif: actionnable en un geste. Critere: controles stables. KPI: latence mediane commande. DoD: latence mesuree et cible tenue.","Backlog","High","performance,latency,playback","2026-05-06","2026-05-10"
"P1 - HUD UX & Controls","Verrouiller logique idle notch anti-spam","Objectif: eviter affichages inutiles. Critere: HUD utile. KPI: nombre d'affichages inutiles. DoD: comportement idle valide en tests longue duree.","Backlog","Normal","hud,idle,quality","2026-05-08","2026-05-11"
"P1 - Extensions Systeme","Brancher MediaKeyMonitor dans runtime","Objectif: interception touches effective. Critere: extension controls systeme. KPI: taux interception touches. DoD: wiring AppModel + handling stable.","Ready","High","input,media-keys,system","2026-05-12","2026-05-14"
"P1 - Extensions Systeme","Connecter AudioVolumeService au HUD volume","Objectif: feedback volume en HUD. Critere: surface systeme unifiee. KPI: taux succes ajustement volume. DoD: service branche + UX validee.","Ready","High","audio,volume,hud","2026-05-12","2026-05-15"
"P1 - Extensions Systeme","Connecter DisplayBrightnessService au HUD brightness","Objectif: feedback luminosite en HUD. Critere: surface systeme unifiee. KPI: taux succes ajustement luminosite. DoD: service branche + gestion erreur.","Backlog","High","display,brightness,hud","2026-05-14","2026-05-18"
"P1 - Extensions Systeme","Implementer keyboard brightness service","Objectif: couvrir keyboard brightness avec fallback. Critere: extension controls systeme. KPI: taux succes keyboard brightness. DoD: service + degradation propre.","Backlog","Normal","keyboard,brightness,private-api","2026-05-16","2026-05-21"
"P1 - Extensions Systeme","Ajouter toggles systeme dans Settings/MenuBar","Objectif: pilotage utilisateur explicite. Critere: adoption et controle runtime. KPI: taux usage toggles. DoD: toggles exposes + persistants.","Backlog","Normal","settings,menubar,toggles","2026-05-18","2026-05-22"
"P1 - Extensions Systeme","Durcir permissions et sandbox messaging","Objectif: reduire erreurs liees aux autorisations/API privees. Critere: fiabilite. KPI: frequence erreurs permissions. DoD: messages clairs + fallback.","Backlog","High","permissions,sandbox,reliability","2026-05-19","2026-05-24"
"P2 - Produit & Release","Completer integration MenuBarExtra","Objectif: app toujours accessible en menu bar. Critere: utilitaire quotidien. KPI: taux usage menu bar. DoD: wiring complet + QA.","Ready","High","menubar,product,ux","2026-05-26","2026-05-29"
"P2 - Produit & Release","Refondre SettingsView (General/Sources/HUD/Debug)","Objectif: configuration claire. Critere: maintainabilite et adoption. KPI: taux completion setup. DoD: sections finalisees + persistance.","Backlog","Normal","settings,product,configuration","2026-05-27","2026-06-01"
"P2 - Produit & Release","Ajouter launch-at-login","Objectif: usage recurrent. Critere: utilitaire quotidien. KPI: retention 7/30 jours. DoD: activation/deactivation stable.","Backlog","Normal","startup,retention,smappservice","2026-05-30","2026-06-03"
"P2 - Produit & Release","Build release signee + notarization","Objectif: livrable macOS diffusion. Critere: app signee et distribuable. KPI: succes pipeline release. DoD: checklist release complete.","Backlog","High","release,signing,notarization","2026-06-01","2026-06-06"
"P2 - Produit & Release","Documenter architecture/limites/runbook support","Objectif: support et evolution maitrises. Critere: maintenabilite. KPI: temps moyen resolution incident. DoD: docs valides.","Backlog","Normal","documentation,runbook,architecture","2026-06-02","2026-06-07"
"Ops - Qualite & Pilotage","Dashboard KPI produit/qualite","Objectif: pilotage hebdo data-driven. Critere: suivi criteres reussite. KPI: detection/latence/erreurs. DoD: dashboard actif + revue hebdo.","Ready","High","kpi,dashboard,pilotage","2026-04-23","2026-04-30"
"Ops - Qualite & Pilotage","Journaliser erreurs AppleScript + cooldown policy","Objectif: reduire erreurs non gerees. Critere: robustesse runtime. KPI: frequence erreurs -609/-1743. DoD: logs structures + seuil alertes.","Ready","High","applescript,errors,cooldown","2026-04-22","2026-04-27"
"Ops - Qualite & Pilotage","Definir matrice tests macOS x apps tierces","Objectif: fiabilite multi-environnements. Critere: detection et controles stables. KPI: couverture matrice tests. DoD: matrice publiee + executions.","Backlog","High","qa,test-matrix,compatibility","2026-05-01","2026-05-06"
"Ops - Qualite & Pilotage","Revue hebdo backlog + risques + decisions","Objectif: gouvernance courte et claire. Critere: execution continue. KPI: nb risques critiques non traites. DoD: rituel hebdo installe.","Backlog","Normal","governance,backlog,risks","2026-04-24","2026-06-30"
"Ops - Qualite & Pilotage","Definir Go/No-Go release","Objectif: decision release objective. Critere: lancement robuste. KPI: nb criteres valides avant release. DoD: grille Go/No-Go approuvee.","Backlog","High","release,quality,gate","2026-06-04","2026-06-10"
